timestep	p0x	p0y	p0z	plx	ply	plz	ree
195000	-7.563504212	-6.408172083	-4.332464255	-2.825653242	-0.2544937266	13.66329	19.60005511
195100	-7.742634611	-6.957921035	-4.311678113	-2.644089922	0.2561530743	-13.67054459	12.86959226
195200	-8.191326277	-7.088806668	-3.625236833	-2.70973926	0.5741407497	-13.12895545	13.38242231
195300	-8.356818262	-7.373487547	-3.837295555	-3.032760956	0.5122789074	-12.77845445	13.05661599
195400	-8.419006021	-7.791614054	-2.848130421	-3.424594757	0.4421897224	-12.7355578	13.80220593
195500	-8.531327388	-8.222664612	-1.975823527	-3.402684816	0.1622472058	-13.41893259	15.08490854
195600	-8.674949418	-8.429488294	-1.12819058	-2.831643856	0.02234552956	-13.12279463	15.79393052
195700	-8.781506997	-8.500307918	-0.1633585839	-3.02393848	0.7781894274	-13.10986079	16.93670652
195800	-8.605252295	-8.359973104	1.037332182	-3.546953098	0.7271345645	-13.61038587	17.96434137
195900	-7.899411113	-7.962837582	0.9767030303	-3.456801771	0.4831334639	13.2573407	15.55266107
196000	-7.818914175	-8.143217903	1.720596746	-3.227012625	0.7951744688	13.04588222	15.14075656
196100	-8.086806678	-8.455087418	2.610656985	-3.553855144	0.6606279019	13.41866888	14.84779568
196200	-8.238930816	-8.238781402	2.581153263	-3.507977849	0.3307085785	13.6928161	14.80834648
196300	-8.144890983	-8.242113096	2.89997669	-2.806373458	0.1155642269	13.65072946	14.62631959
196400	-7.911535994	-8.645780047	3.393128277	-2.341143609	0.1206779438	13.77156287	14.68305015
196500	-7.37238509	-8.741112346	3.279068045	-2.246927969	0.3726043389	13.63645055	14.71752407
196600	-6.920004083	-8.641357718	3.16084652	-1.980727839	1.042557228	13.34670314	14.89719214
196700	-6.82205853	-8.440313891	3.501480491	-2.427661461	0.9034167638	12.80955239	13.90166287
196800	-6.574825672	-7.985642387	3.868529923	-2.325684604	0.5732282539	13.02838134	13.23677999
196900	-5.99570423	-7.552034091	4.193121842	-1.564043586	0.2034686022	12.68053193	12.32167067
197000	-5.372686716	-7.452584495	4.47236283	-1.993592273	0.5092180609	11.98122351	11.45388877
197100	-4.809680248	-7.577150074	4.164318459	-1.90725074	0.4988652511	11.88948775	11.54661687
197200	-4.584073486	-7.440947503	4.088662993	-1.819011361	0.3128197682	11.91858103	11.36107794
197300	-4.533163411	-7.503786066	3.991919026	-1.5523761	0.255467237	12.17604181	11.66494623
197400	-4.225340809	-7.930514169	3.499973137	-1.592317694	-0.3413884707	12.64771494	12.17410447
197500	-3.407112029	-8.52618112	3.018132753	-2.069132469	-0.2019144603	12.58154975	12.7492176
197600	-2.420442935	-8.978987038	3.081586244	-2.11726536	0.1590293222	12.15099156	12.87825192
197700	-1.577462374	-9.310850179	3.671182811	-2.210679636	-0.3049153683	12.03626039	12.30781658
